,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
57,doc_57,"Herein, a disordered carbon and rGO co-modified Li4Ti5O12 (LTO) anode material (LTO/C@rGO) was prepared by a simple hydrothermal reaction. In this anode material, the intermediate carbon layer acts as a bridge to anchor the LTO particles uniformly on the reduced graphene oxide (rGO) sheets to construct a special network structure. The high conductivity of rGO is used to improve the electronic and ionic conductivity of LTO, and the content of rGO is adjusted to achieve the purpose of balancing the electron and ion transport efficiency. When the introduction amount of rGO is 5 wt%, the discharge-specific capacities are 290.0 mAh/g and 249.9 mAh/g of 10 cycles at 200 mA g  1 and 2000 mA g  1, respectively. Therefore, the construction of this special structure plays an ideal role in improving the rate performance and long-cycle stability of LTO anode materials for lithium-ion batteries.",LTO/C@rGO,N/A,"200 mA g, 2000 mA g",N/A,10
58,doc_58,"A novel three dimensional (3D) N-doped Li4Ti5O12 (LTO) nanoribbon (N-LTONR) network electrode is synthesized by hydrothermal process and subsequent gas-solid reaction. The presence of self-doped Ti3+ and oxygen vacancies in LTO lattice further enhances the intrinsic conductivity. The thin nanoribbons (70 nm in width and 20 nm in thickness) are twisted and intertwined to form a 3D conductive network, and can be directly served as flexible electrode for Li ion batteries (LIB) without using any binder and conductive additives. The optimized N-LTONR electrode exhibits excellent high-rate capability, low-temperature performance and cycle stability. It delivers a areal capacity of 0.26 mAh cm(-2) at a high current density of 10 mA cm(-2), and has a capacity retention rate of 85.2% after 1000 cycles at 3 mA cm(-2). It also displays excellent low-temperature adaptability and retains 78.3% room temperature-capacity even under -30 degrees C, exhibits a low capacity loss (2%) after 100 cycles at 1 mA cm(-2) under - 20 degrees C. In addition, the 3D nanoribbon network electrode possesses good flexibility and has promising potential to be used for flexible and bendable LIBs. (C) 2022 Elsevier B.V. All rights reserved.",N-LTONR,0.26 mAh cm(-2),"10 mA cm(-2), 1 mA cm(-2) (under -20 degrees C), 3 mA cm(-2) (after 1000 cycles)",N/A,1000
59,doc_59,"TiNb2O7 with Wadsley-Roth phase delivers double theoretical specific capacity and similar working potential in comparison to spinel Li4Ti5O12, the commercial high-rate anode material, and thus can enable much higher energy density of lithium-ion batteries. However, the inter-particle resistance within the high-mass-loading TiNb2O7 electrode would impede the capacity release for practical application, especially under fast-charging conditions. Herein, 10-20 mu m-size carbon-coated TiNb2O7 secondary particle (SP-TiNb2O7) consisting of initial micro-scale TiNb2O7 particles (MP-TiNb2O7) was fabricated. The high crystallinity of active material could enable fast-charge diffusion and electrochemical reaction rate within particles, and the small number of stacking layers of SP-TiNb2O7 could reduce the large inter-particle resistance that regular particle electrode often possess and achieve high compaction density of electrodes with high mass loading. The investigation on materials structure and electrochemical reaction kinetics verified the advances of the as-fabricated SP-TiNb2O7 in achieving superior electrochemical performance. The SP-TiNb2O7 exhibited high reversible capacity of 292.7 mAh g(-1) in the potential range of 1-3 V (Li+/Li) at 0.1 C, delivering high-capacity release of 94.3 %, and high capacity retention of 86 % at 0.5 C for 250 cycles in half cell configuration. Particularly, the advances of such an anode were verified in practical 5 Ah-level laminated full pouch cell. The as-assembled LiFePO4||TiNb2O7 full cell exhibited a high capacity of 5.08 Ah at high charging rate of 6 C (77.9 % of that at 0.2 C of 6.52 Ah), as well as an ultralow capacity decay rate of 0.0352 % for 250 cycles at 1 C, suggesting the great potential for practical fast-charging lithium-ion batteries.",TiNb2O7,5.08 Ah,6 C,N/A,50
60,doc_60,"Li2ZnTi3O8 (LZTO) has been highlighted as a promising active anode material for rechargeable lithium-ion batteries, but it suffers from a low high-rate capacity due to the sluggish Li-ion diffusion kinetics and inevi-table consumption of Li+ due to side reactions at the electrode/electrolyte interface. In this study, using Li3PO4 as a lithium ion conductor and interface modifier, the crystal structure and electrochemical properties of LZTO are systematically studied and confirm that it is a faster lithium ion conductivity. Li3PO4 not only accelerates Li-ion transport and increases diffusion paths, but also exhibits interfacial stability at high temperatures. Due to these advantages, the LZTO electrode containing the Li3PO4 coating layer exhibits significantly improved electro-chemical performance. The new Li3PO4 coated LZTO electrode shows a large discharge specific capacity of 158.9 mAh g-1 and a high capacity retention of 99% is obtained after 200 cycles at a rate of 5.0 A g-1 and combined with cycle stability. Furthermore, the Li3PO4 coated LZTO electrode also exhibits excellent low electrode po-larization and high temperature long cycling performance for 500 cycles at temperatures up to 70 degrees C.",LZTO,158.9 mAh g-1,N/A,N/A,N/A
61,doc_61,"Garnet-structured solid-state electrolytes are getting considerable attention due to their high figure of merit over other inorganic solid-state electrolytes. The high lithium-ion conductivity and exceptional stability with metallic lithium over a wide voltage window open the door for the practical realization of an all-solidstate battery. However, the lithiophobic nature of garnet solid electrolytes creates huge interface resistance, which restricts achieving high critical current density. Herein a multifunctional composite anode containing lithium metal and lithium titanate (Li4Ti5O12) is introduced to tackle the interface challenges with the garnet solid electrolyte. The partial reduction of titanium in the composite enhances the electronic conductivity of the anode, and the intrinsic structural advantages of lithium titanate are expected to accommodate volume change as well. The prepared symmetric cell with the composite anode is found to have a minimal areal-specific resistance of 27 S2 cm2, while that of the pristine lithium anode is 249 S2 cm2. The cell has also run with a better critical current density (0.35 mA cm-2) than the pristine lithium (0.15 mA cm-2). A full cell study with a lithium iron phosphate cathode offers a capacity of 145 mAh g-1 at 0.2 C and runs for 100 cycles at 1 C with minimum capacity loss.",Composite,145 mAh g-1,"0.2, 1",N/A,100
62,doc_62,"Boosting energy density and reducing the cost of lithium-ion batteries are critical to accelerating their applications in transportation and grid energy storage. Battery design with increasing electrode thickness is an effective way to combine higher energy density and lower cost. However, the evaluation of electrodes with increased thickness is challenging and requires more attention. Here, some pitfalls are to be avoided and a reasonable evaluation strategy is provided for cathode electrodes regarding the choice of counter electrode. Though as the most common counter electrode, lithium metal anode is actually not suitable for evaluating cycling performance, which exhibits fast cell capacity decline, especially, in the case of areal capacity higher than 2 mAh cm(-2). Two commercial anode materials, graphite and Li4Ti5O12 (LTO) as the potential alternatives, are systematically evaluated and compared, demonstrating LTO as the more suitable choice. The thick cathode electrode coupled with LTO exhibits excellent rate capability, stable cycling performance, and easy interpretation of charge/discharge profile. The relationship between cell balance and battery performance is further analyzed in detail. This strategy enables a reasonable evaluation of the cathode electrodes and advances the designing of thick electrode.","LTO, Graphite",N/A,N/A,N/A,N/A
63,doc_63,"Interest in defect engineering for lithium-ion battery (LIB) materials is sparked by its ability to tailor electrical conductivity and introduce extra active sites for electrochemical reactions. However, harvesting excessive intrinsic defects in the bulk of the electrodes rather than near their surface remains a long-standing challenge. Here, a versatile strategy of quenching is demonstrated, which is exercised in lithium titanate (Li4Ti5O12, LTO), a renowned anode for LIBs, to achieve off-stoichiometry in the interior region. In situ synchrotron analysis and atomic-resolution microscopy reveal the enriched oxygen vacancies and cation redistribution after ice-water quenching, which can facilitate the native unextractable Li ions to participate in reversible cycling. The fabricated LTO anode delivers a sustained capacity of 202 mAh g(-1) in the 1.0-2.5 V range with excellent rate capability and overcomes the poor cycling stability seen in conventional defective electrodes. The feasibility of tuning the degree of structural defectiveness via quenching agents is also proven, which can open up an intriguing avenue of research to harness the intrinsic defects for improving the energy density of rechargeable batteries.",LTO,202 mAh g(-1),N/A,1.0-2.5 V,N/A
64,doc_64,"Mg-doped Li2ZnTi3O8/C samples have been studied as anode substances for lithium-ion batteries have been organized by means of a simple sol-gel technique and calcined with the aid of a microwave tube sintering furnace. The binding energy and lattice change of Li2ZnTi3O8 are minimized when Mg replaces Zn (Zn <-> Mg) is known by DFT calculations, so Mg2+ is doped in the Li2ZnTi3O8 lattice by replacing Zn2+, which can be demonstrated by XRD, TEM, and XPS spectroscopy in addition. CV and EIS show that the doping of Mg2+ provides a stable and fast transport channel for Li+ and in this way improves the ionic and electronic conduc-tivity of Li2ZnTi3O8/C and further reduces the polarization. The Mg-doped Li2ZnTi3O8/C exhibits excellent cycling and rate performance, exhibiting high charge/discharge capacity of 307.6/306.5 mAh g-1 after 900",Mg-doped Li2ZnTi3O8/C,307.6/306.5 mAh g-1,N/A,N/A,900
65,doc_65,"Binders play a critical role in rechargeable lithium-ion batteries (LIBs) by holding granular electrode materials, conductive carbons, and current collectors firmly together to form and maintain a continuous electron conduction phase with sufficient mechanical strength. In the commercial LIBs, the dominant binder is polyvinylidene fluoride for the cathode (LiCoO2, LiFePO4, LiNi(x)Cot(y)Mn(z)O(2), etc.) and carboxyl methylcellulose/styrene-butadiene rubber for the anode (graphite and Li4Ti5O12). However, these polymer binders have several drawbacks, particularly, a lack of electronic and lithium-ion conductivities. Here, a novel organic/inorganic hybrid conductive binder (LAP-rGO) for both the anode and cathode of LIBs is reported. The binder consists of 2D reduced graphene oxide sheets with anchored long alkane chains. Electrodes prepared using this binder exhibit sufficient high bond strength, fast electrolyte diffusion, high rate charge/discharge performance, and excellent cycling stability. Around 130 mAh g(-1) capacity enhancement at 5C is demonstrated for LiFePO4 and Li4Ti5O12 electrodes owing to the combined improvement in electron and lithium ion transportation. LAP-rGO bond graphite anode shows specific capacity beyond its theoretical value. Electrode slurries prepared using this new binder have superior processing and coating properties that can be prepared under a high humidity and dried using less energy.",graphit,beyond its theoretical value (specific capacity),N/A,N/A,N/A
66,doc_66,"In this work, Na2Li2Ti6O14@PEDOT composites (PEDOT = 0, 4.5, 7.5, and 10.5 wt%) are synthesized by a solution dispersion process following by an oxidative polymerization. Both pristine Na2Li2Ti6O14 and Na2Li2-Ti6O14@PEDOT composites consist of irregular particles and show similar porous spherical shapes with a size of 3-5 mu m. Appropriate amount of PEDOT coating efficiently enhances the electrochemical performance of Na2Li2Ti6O14. Na2Li2Ti6O14@PEDOT composites deliver the discharge/charge capacities of 140.7/140.1, 152.3/ 151.4, 179.9/177.7, and 122.3/121.8 mAh g(-1) at 2 C over 100 cycles, respectively. Na2Li2Ti6O14@PEDOT composites (PEDOT = 7.5 wt%) shows the largest specific capacities among all samples. The PEDOT coating layer has a prominent electronic conductivity, which can weaken the polarization, reduce the charge transfer resistance, and improve the lithium-ion mobility of Na2Li2Ti6O14. These results demonstrate that PEDOT coating is an efficient way to enhance the lithium storage capacity of Na2Li2Ti6O14.",N/A,"140.7/140.1, 152.3/151.4, 179.9/177.7, and 122.3/121.8 mAh g(-1)",2 C,N/A,100
67,doc_67,"Copper foil has been widely adopted as the anode current collector in commercial lithium-ion batteries (LIBs) due to its exceptional electrical conductivity, mechanical flexibility, and low cost. However, the smooth surface of copper foil often leads to active material delamination during cycling, resulting in accelerated capacity degradation. To address this limitation, this study developed a novel composite current collector featuring a high specific surface area and rough porous architecture through a dip-coating method. The fabrication process employs copper mesh as a structural skeleton, integrated with carbon nanotubes (CNTs) and polyvinylidene fluoride (PVDF) as functional fillers. Compared to conventional metallic copper foils, the composite current collector demonstrates superior interfacial wettability, enhanced adhesion strength, and reduced contact resistance. When paired with graphite as the active material, the graphite composite electrode exhibits outstanding cycling stability and rate capability. Specifically, the graphite composite electrode delivers a specific capacity of 297.9 mAh g-1 with 94.3% capacity retention after 200 cycles at 0.5 C, significantly outperforming the graphite-copper foil counterpart (238.3 mAh g-1, 81.2% retention). This work provides an innovative strategy for enhancing battery performance through the rational design of efficient and durable current collectors.",Graphite,297.9 mAh g-1,0.5 C,N/A,200
68,doc_68,"Li(4)Ti5O(12) (LTO) anode materials have become a research hotspot due to their zero strain  characteristics. However, LTO has shortcomings such as a low capacity and rate performance, which severely restrict its development. In this work, Na+- and Br-- codoped LTO was successfully prepared by the sol-gel method, which effectively improved the capacity and high-rate performance. According to morphology and structure characterization, codoping retains the spinel crystal lattice and results in a more uniform phase and smaller particle size. Na+ doped at Li sites expands the lithium layer spacing, promoting the migration of Li+. Br- doped at O positions forms stronger covalent bonds with Ti, improving structural stability. Long-cycle and rate performance tests show that NB3-LTO exhibits the best electrochemical performance. The discharge capacity of NB3-LTO is 490.2 mAh g-1 at 0.2 C and 243.0 mAh g(-1) at 10 C, while the corresponding values for pure LTO are only 158.5 and 66.4 mAh g(-1). Codoping increased the discharge capacity 3.1-and 3.7-times respect to pure LTO at 0.2 and 10 C, respectively. Cyclic voltammetry (CV) and electrochemical impedance spectroscopy (EIS) tests show that the Li+ diffusion coefficient increases and the electrochemical impedance decreases. All test results show that codoping with Na+ and Br- is a feasible method to produce LTO anode materials with outstanding comprehensive performance. (c) 2022 Elsevier B.V. All rights reserved.",LTO,"158.5, 66.4 mAh g(-1)","0.2, 10 C",N/A,N/A
69,doc_69,"Titanium niobium oxide (Ti2Nb10O29, TNO) as anode for high-energy lithium ion batteries (LIBs) typically suffers from sluggish kinetics and reaction activity because of its inferior electronic/ionic conductivity and easy aggregation feature. Herein, we present a novel synergistic strategy to tackle such problems of TNO by combining boron (B) doping and porous carbon nanosheet (PCN) arrays support. Experiment results and theoretical calculations demonstrate that the doped B substantially ameliorates the intrinsic electronic/ionic conductivity of TNO, increases the oxygen vacancy content in TNO, and accelerates lithium ion diffusion. Meanwhile, highconductive PCN arrays as growth skeleton can avoid the agglomeration of B-TNO particles. As a result, the as- prepared PCN/B-TNO anode delivers an impressive specific capacity of 303 mAh g-1 at 1 C and 104 mAh g-1 at 20 C, superior to the PCN/TNO anode. Additionally, PCN/B-TNO anode also possesses a prominent long-time durability (85 % capacity retention after 2000 cycles). Our work paves a new way of rationally constructing highenergy anodes for fast energy storage and release.",PCN/B-TNO,"303 mAh g-1, 104 mAh g-1","1 C, 20 C",N/A,2000
70,doc_70,"The inevitable demand for the energy sources for the present world's living has increased the pace of exploration towards developing sustainable and superior performing energy storage devices. Lithium-ion battery technology has been in the front since its invention. The introduction of spinel structured lithium titanate (Li4Ti5O12) as an anode material for lithium-ion batteries led to revolutionary improvements in rate-capability, long cyclability, and safety. The diffusion kinetics studies have been carried out on germanium doped lithium titanate (Li4GexTi5-xO12, x = 0.05, 0.10, 0.15, and 0.20) through cyclic voltammetry analysis. The studies revealed that the lithium-ion kinetics in the lithium titanate has significantly improved the electrochemical performance through germanium incorporation. The lithium-ion diffusion coefficient of Li4Ge0.1Ti4.9O12 (1.12x10(-11) cm(2) s(-1)) was found to have one order higher than that of the pristine phase (2.71 x10(-12) cm(2) s(-1)). This enhancement in the lithium-ion diffusion has pushed the discharge capacity of Li4Ge0.1Ti4.9O12 to 161 mAh g(-1) from 145 mAh g(-1) at 0.1C rate.",Lithium-ion,161 mAh g(-1),0.1C rate,N/A,N/A
71,doc_71,"Li4Ti5O12 is a lithium-ion battery cathode material with great potential for development because of its zero-strain characteristics, but its low lithium ion diffusion and conductivity rate lead to poor rate and cycling performance. NaN-LTO, a nanorod-like material with oxygen vacancies on the surface, was prepared by calci-nation after hydrothermal reaction using sodium molybdate as the sodium source and L-cysteine as the nitrogen source and structural guiding agen, while achieving co-doping of N and Na at the O and Li positions in situ respectively. The effects of N and Na co-doping on the crystal and electronic structures were revealed. The electrochemical test results show that rate and cycle performance of NaN-LTO are greatly improved, which can reach 126.0 mAh/g at 20C (1C = 175 mAh/g), 126.9 mAh/g after 1000 cycles with a capacity retention rate of 100.7% and the capacity retention rate is 74.0% after 3000 cycles. The co-doping strategy of Li-site and O-site provides a new modification idea to enhance the electrochemical performance of lithium titanate. Meanwhile, the preparation cost of lithium titanate can be reduced by the partial replacement of Li by inexpensive Na.",Cathode,"126.0 mAh/g, 126.9 mAh/g",20C,N/A,"1000, 3000"
72,doc_72,"The uncontrollable dendritic Li growth and limited Coulombic efficiency have long impeded the implementation of fast -charging lithium metal batteries. Contrary to the widely accepted attempt of using a sintering dense ceramic electrolyte to realize dendrite -free deposition, we report a coupling architecture of ion-conductingLi3PO4-Li3N interphase with lithiophilic-solid-oxide-electrolyte interlayer for Li -metal anode using a reactive lithiophilic solid oxide electrolyte (RLSE) rather than dense ceramics. The synergistic interphase and protection layer can facilitate the Li -ion transport and enhance the lithiophilicity. As a result, an ultrahigh Li plating/ stripping current density of 10 mA cm -2 and areal capacity of 10 mAh cm -2 for over 1000 h, and a remarkable Coulombic efficiency of 99.8 % are achieved simultaneously. Moreover, the use of interphase-interlayer synergistic protection enables a stable long-term 3000 -cycling of Li||Li4Ti5O12 cell at 2C rate. More importantly, highcurrent-density (e.g. 1.8 mA cm -2) cycling of Li||LiNi0.8Co0.1Mn0.1O2 batteries with a practical area capacity of 3.6 mAh cm -2 is achieved in both carbonate and quasi -solid electrolytes. This study demonstrates an alternative approach of solid oxide electrolytes to stabilize Li -metal anode and enable fast -charging lithium metal batteries.",N/A,3.6 mAh cm^-2,2C,N/A,3000
73,doc_73,"TiNb2O7 (TNO) has emerged as a promising fast-charging anode for lithium-ion batteries (LIBs). However, research on TNO anode materials has been mostly restricted to synthesis of polycrystalline with limited associated mechanistic studies. Herein, we report a novel scalable aqueous synthesis method yielding sub-micron size single-crystal TNO particles following calcination that enables fast-charging anode fabrication. The sustainable co-precipitation process yields amorphous intermediate hydroxides which upon thermal conversion induced crystallization form single crystals. The obtained TNO monocrystalline anode material under 900 degrees C calcination (TNO-900C) delivers a high gravimetric capacity (279 mAh/g at 1st cycle) and a high volumetric capacity (351.7 mAh/cm3 at the initial cycle) at 0.5C rate. Additionally, the TNO anode delivers a remarkable capacity of 223 mAh/g at 5C and a high retention of 81.4 % after 200 cycles. In addition, TNO-900C illustrates outstanding fastcharging performance with a reversible capacity of 200 mAh/g at 10C. The intercalation mechanism and diffusion behavior of the monocrystalline TNO anodes are elucidated by electrochemical kinetic analysis (GITT, CV, and EIS). The remarkable fast charging Li-ion storage performance can be attributed to a high Li+ diffusion coefficient (1.37 x 10-13 cm2/s), low polarization, and high structural stability.",TNO,"279 mAh/g, 351.7 mAh/cm3, 223 mAh/g, 200 mAh/g","0.5C, 5C, 10C",N/A,200
74,doc_74,"At present, the wide commercial application of Li4Ti5O12 (LTO) is limited as an anodefor lithium-ionbatteries because of its poor conductivity and lower rate performance.In this paper, LTO nanoparticles were embedded in a reduced grapheneoxide (rGO) conductive network by an in situ electrostatic self-assemblyeffect using a simple hydrothermal reduction method. The microstructureand electrochemical performance of the LTO/rGO composite were investigated.The highlighted results showed that LTO nanoparticles were combinedwith rGO nanosheets by a Ti-O-C covalent bond, whichwas more stable than other bonding methods. At the same time, theaddition of rGO not only enriches the structure and increases thespecific surface area but also effectively prevents the agglomerationof LTO. The higher conductivity of LTO nanoparticles was bestowedby the rGO three-dimensional (3D) network, causing structural stabilityand high electrochemical performance. The LTO/rGO composite has highfirst discharge capacity (643.9 mAh/g at 0.5C), remarkable rate performance(290 mAh/g at 10C), and excellent cycle stability (271.7 mAh/g afterthe 1000th cycle at 10C) when tested in a half battery. Furthermore,it has higher discharge capacity (181.8 mAh/g at 1C, the first Coulombicefficiency was 90.1%) and excellent cycle stability (142.8 mAh/g after500 cycles at 20C) when assembled into a full battery as the anodewith commercial LiFePO4 (LFP) as the cathode. The lithiumstorage mechanism of the LTO/graphene composite was further discussedby first-principles calculations. With the addition of graphene toLTO, the electron transport ability was improved and the diffusionenergy barrier was reduced. This made the composite expected to becomea promising anode material for lithium-ion batteries.",LTO/rGO,"181.8 mAh/g, 643.9 mAh/g","1C, 0.5C, 10C, 20C",N/A,"500, 1000"
75,doc_75,"Li4Ti5O12 is considered as a safe and stable anode material for high-power lithium-ion batteries due to its zero-strain characteristic during the charge/discharge. However, the intrinsically low electronic conductivity leads to a deterioration in high-rate performance, impeding its intensive application. Herein, the Li4Ti5O12/rutile TiO2 (LTO/RT) heterostructured nanorods with tunable oxide phases have been in-situ fabricated by annealing the electrospun nanofiber precursor. By constructing such a heterostructured interface, the as-prepared sample delivers a high capacity of 160.3 mAh.g(-1) at 1 C after 200 cycles, 125.5 mAh.g(-1) at 10 C after 500 cycles and a superior capacity retention of 90.3% after 1,000 cycles at 30 C, outperforming the heterostructure-free counterparts of pure LTO, RT and the commercial LTO product. Density Functional Theory calculation suggests a possible synergistic effect of the LTO/RT interface that would improve the electronic conductivity and Li-ion diffusion.",Li4Ti5O12,"160.3 mAh.g(-1), 125.5 mAh.g(-1)","1 C, 10 C, 30 C",N/A,"200, 500, 1000"
76,doc_76,"Li4Ti5O12 (LTO) is a very prospective anode material for lithium-sulfur batteries (LSBs) due to its ability to effectively suppress the shuttle effect of polysulfides in the sulfur cathode and inhibits the growth of lithium dendrites. Unfortunately, the low electronic conductivity of LTO results in low Coulombic efficiency and cycling rate. In this work, three metal Sn composite LTO and introduced doped carbon LTO/Sn/C-x (x = 20, 40, and 60) encapsulate as the anode material for LSBs were employed by high-temperature solid-phase method and the structure, morphology, and electrochemical properties of LTO/Sn/C-x have been investigated. The results demonstrate that electronic conductivity, lithium-ion diffusion rate, discharge specific capacity, discharge rate capability, and stability of LTO/Sn/C-x electrodes are significantly improved. Among them, LTO/Sn/C-20 electrode exhibits the highest initial discharge specific capacity (339.54 mAh g(-1)) at 0.1 C, which is 1.2-fold of LTO/C (291.56 mAh g(-1)), and the initial discharge capacity from 224.96 mAh g(-1) to 197.39 mAh g(-1) after 150 cycles, corresponds to 87.7% of the initial stable discharge capacity. The outstanding performance of LTO/Sn/C-20 can be attributed to the low interface impedance and higher electronic conductivity, and appropriate amount of metal Sn composite can improve the electrochemical activity. Moreover, the carbon layer on the material surface was proven to reduce the disadvantage of volume expansion of Sn during charge-discharge processes. This work demonstrates that composite metal Sn is an effective method to improve LTO multiplication performance, providing valuable insights into the design and optimization of anode electrode materials for Li-S batteries.",LTO/Sn/C,339.54 mAh g(-1),0.1 C,N/A,150
77,doc_77,"The Li4Ti5-xAlxO12 samples with tremella-shape were synthesized via a hydrothermal method at 550 degrees C and used as anode material in lithium-ion batteries. The XRD results revealed all as-prepared Li4Ti5-xAlxO12 samples had the structure and chemical component of standard spinel Li4Ti5O12, and the tremella-shape morphology of the Li4Ti5-xAlxO12 sample was composed of ultra-thin nanosheets. With Al3+ doping amount x = 0.5, both the optimum first discharge specific capacity and lithium-ion diffusion coefficient at a rate of 1 C were obtained to be 217.9 mAh/g and 3.72 x 10(-13) cm(2).S-1, respectively. And the discharge capacity retention rate of the Li4Ti4.5Al0.5O12 still reached as high as 86.87% after 200-cycle performance test. All Li4Ti5-xAlxO12 anode materials were charge-discharged at different rates for 5 cycles to prove the good capacity stability and excellent rate performance. To sum up, the prepared Li4Ti5-xAlxO12 has excellent electrochemical properties and can be used as an anode material in the potential application of lithium-ion batteries.",Li4Ti5-xAlxO12,217.9 mAh/g,1 C,N/A,200
78,doc_78,"Sodium-ion batteries (SIBs) are the promising candidate in grid systems owing to the wide distribution and abundance of sodium resources. However, the charge storage mechanism and size-effect of the active materials for SIBs remain largely unexplored. Herein, we synchronously investigate the electrochemical properties and structural evolutions of Li4Ti5O12 (LTO) anode for Li+ and Na+ storage, along with the nano-size effect on their charge storage behaviors. Through detailed kinetic analysis, it is found the Li+ storage in LTO is diffusion-controlled in bulk and shows increased surface-controlled contributions when the size is reduced to 18 nm. In comparison, for the Na+ storage, the domination step is surface-controlled in all the sizes of LTO from 260 to 18 nm, with over 55% contribution even at the low sweep rate of 0.1 mV s(-1). The limited near-surface reaction region and low diffusion kinetics determine the surface-controlled Na+ storage behaviors and the specific ca-pacities. The suitable size of LTO-18 nm anode displays a high capacity of-140 mAh g(-1) (at 0.05 A g(-1),-0.29C), high-rate capability (42 mAh g(-1) at similar to 57C), and long-term cycling stability (over 1200 cycles). Our finding provides insights into a precise design of nanomaterials for high-power sodium-ion storage devices.",LTO-18 nm,-140 mAh g(-1),"0.05 A g(-1), 57C",N/A,over 1200 cycles
79,doc_79,"Niobium-based oxides (NMO) have attracted widespread research enthusiasm in the field of energy storage systems, including lithium-ion batteries (LIBs). Most recently, MoNb12O33 was reported as a promising material for LIBs due to its long-term cyclability, high theoretical/practical capacities, safe operating potential, and excellent structural stability. Nevertheless, the kinetics of electrochemical reactions in MoNb12O33 is hindered by its intrinsically poor electronic conductivity and electron transfer properties. These tend to be significant flaws restricting its practical use in LIBs. In this study, we employed an electrospinning technique and subsequent hydrogenation treatment for fabricating NMO and NMO@H-Ar (@H-Ar denotes heat treatment under hydrogen and argon mixture) nanowires. The hydrogenation treatment narrows the band gap, expands unit cell volume, and creates oxygen vacancies in NMO@H-Ar. These resulted in outstanding electrochemical kinetics in the NMO@H-Ar anode, including a high reversible specific capacity of 327 mAh g-1 at 0.1 C, high initial coulombic efficiency of 92.4%, excellent long-term cycling stability with capacity retention of 94.4% (capacity loss per cycle of 0.0056%) after 1000 cycles at 10 C, and good rate performance of 179.7 mAh g-1 at 10 C. In addition, the data obtained from the electrochemical impedance and cyclic voltammetry tests confirm that the hydrogenation treatment significantly enhanced the electronic conductivity and lithium-ion diffusion coefficient. This study affirms that the hydrogenation treatment considerably improved the electronic conductivity and electrochemical reactions kinetics of NMO@H-Ar nanowires, which is beneficial for developing new anode materials for LIBs.",NMO@H-Ar,"327 mAh g-1, 179.7 mAh g-1","10 C, 0.1 C",Not specified,1000
80,doc_80,"Due to higher packing density, lower working potential, and area specific impedance, the MLi2Ti6O14 (M = 2Na, Sr, Ba, and Pb) titanate family is a potential alternative to zero-strain Li4Ti5O12 anodes used commercially in Li-ion batteries. However, the exact lithiation mechanism in these compounds remains unclear. Despite its structural similarity, MLi2Ti6O14 behaves differently depending on charge and size of the metal ion, hosting 1.3, 2.7, 2.9, and 4.4 Li per formula unit, giving charge capacity values from 60 to 160 mAh/g in contrast to the theoretical capacity trend. However, high-temperature oxide melt solution calorimetry measurements confirm strong correlation between thermody-namic stability and the observed capacity. The main factors controlling energetics are strong acid-base interactions between basic oxides MO, Li2O and acidic TiO2, size of the cation, and compressive strain. Accordingly, the energetic stability diminishes in the order Na2Li2Ti6O14 > BaLi2Ti6O14 > SrLi2Ti6O14 > PbLi2Ti6O14. This sequence is similar to that in many other oxide systems. This work exhibits that thermodynamic systematics can serve as guidelines for the choice of composition for building better batteries.",N/A,60-160 mAh/g,N/A,N/A,N/A
81,doc_81,"As a member of silicate anode materials, orthorhombic Na2TiSiO5, synthesized by solid state method, has excellent electrochemical properties and is a promising Lithium-ion battery anode material with long cycle stability and low strain. At a current density of 100 mA g-1, Na2TiSiO5 has a reversible capacity of 395.2 mA h g-1 after 200 cycles with Coulombic efficiencies more than 97%. A reversible capacity of 251.3 mA h g-1 after 1000 cycles is retained with Coulombic efficiencies more than 98%. ex-situ experiments show the high structural stability and a less than 0.67% change of unit cell parameters in the charge/discharge process. The bond valence energy landscape (BVEL) calculation reveals 12 voids, namely, 4c-1, 4c-2, 2b and 2a, in a unit cell. That cor-responds to a nominal composition Na2Li(4c-1)Li(4c-2)Li0.5(2b)Li0.5(2a)TiSiO5 and a theoretical capacity of 398.1 mAh g-1. The ab initio molecular dynamics (AIMD) simulations and density functional theory (DFT) calculations show that for both primitive orthorhombic Na2TiSiO5 and Li+ inserted Na2TiSiO5, Na+/Li+ are not active. However, with the insertion of 4C Li+, the occurrence of the synergic diffusion of Na+ and Ti4+ (4c Na+ -> 4c Ti4+ and 4c Ti4+ -> 2b vacancy) reliefs the extra strain, improves the structural stability during charge/ discharge. The formation energy convex hull reveals 3 intermediate phases, that is Na2LiTiSiO5, Na2Li2TiSiO5 and Na2Li2.75TiSiO5, in the charge/discharge process.",Lithium-ion battery,"395.2 mAh g-1, 251.3 mAh g-1",100 mA g-1,N/A,"200, 1000"
