,abstract_id,abstract,Cathode,Capacity,C-rate,Voltage,Cycle number
101,doc_101,"The low initial Coulombic efficiency of anodes such as Si@C can seriously affect the capacity of high-energy density Li-ion batteries (LIBs). Supplement the initial irreversible lithium loss in the anode through prelithiation technology is the only way to realize the next generation of LIBs. In this work, we report the study of Al-Li alloy (ALA) as a prelithiation additive for LIBs cathodes. As a bifunctional sacrificial lithium source, ALA can not only provide an additional capacity of 1068 mAhg(-1) to supplement the initial active lithium consumption, but also form aluminum and aluminum oxide to stabilize the cathode interface after the delithiation to improve the battery cycling stability. Therefore, the initial charge capacity of LiCoO2 (LCO) and LiNi0.6-Co0.2Mn(0.2)O(2) (NCM622) electrodes can be increased to 12.5%-18.5% by adding 2%-4% ALA. In addition, the energy density of the NCM811/Si@C pouch cell prelithiated by ALA can reach 541 Wh kg( 1), which means that the cathode can maximize the capacity (from 189 mAh g-1 to 205 mAh g(-1)). In conclusion, this work develops a more inexpensive and efficient cathode prelithiation additive for next-generation LIBs.",N/A,"205 mAh g-1 (initial), 189 mAh g-1 (original)",N/A,N/A,N/A
102,doc_102,"In this work, the SiO2@Fe2O3 nanocomposite using SiO2-derived from the laboratory glass waste and commercial Fe2O3 was generated by means of ball milling technique. The phase formation, chemical composition and morphology of the prepared SiO2@Fe2O3 nanocomposite were confirmed using various material characterization techniques such as X-ray diffraction, Raman spectroscopy, Fourier-transformed infrared spectroscopy and field-emission scanning electron microscopy. The lithium-ion battery half-cell and full-cell performances of the SiO2@Fe2O3 nanocomposite anode were examined in CR-2032 coin cell. The half-cell had nanostructured SiO2@Fe2O3 as anode and lithium metal as counter electrode, whilst the full-cell was fabricated using LiCoO2 as cathode. The fabricated coin cell was subjected to electrochemical studies viz, cyclic voltammetry, galvanostatic charge-discharge and electrochemical impedance spectroscopy. The SiO2@Fe2O3 anode exhibited half-cell capacity of 530 mAh g(-1) at 0.2C-rate, with almost stable rate performance as well as cycling stability. The high discharge capacity was attributed to the simultaneous occurrence of conversion/re-conversion by the Fe2O3 and alloying/dealloying by the SiO2. The Fe2O3 acted as buffer to accommodate the volume change associated with the lithiated phase Li4.4Si. The lithium-ion full-cell battery exhibited a high discharge capacity of 780 mAh g(-1) at 0.1C-rate with excellent coulombic efficiency and stability over 500 charge-discharge cycles at 0.8C-rate. [GRAPHICS] .",SiO2@Fe2O3,530 mAh g(-1),0.2,N/A,N/A
103,doc_103,"Lithium spinel (LiMn2O4) possesses a lower theoretical specific capacity compared to layered oxide cathodes (LiCoO2, LiNi0.33Mn0.33Co0.33O2, etc.) but offers an environmentally safe alternative by eliminating the cobalt used in current cathodes. LiMn2O4 requires dopants to increase the operating voltage, maximize energy density, and be competitive with current cathodes. Through a modified Pechini method, this is demonstrated with multiple dopants. The process and spinel structure enable multiple transition metal dopants (nickel, iron, and cobalt) to be added on the Mn site, which increases the specific capacity up to 110 mAh g(-1) when charging up to 5.25 V. Chlorine doping in LiMn2O4 expands the lattice from 8.189 to 8.215 angstrom, allowing for the insertion and removal of additional lithium when cycling down to 2 V. This results in a nearly two fold increase in specific capacity to 200 mAh g(-1) when discharging at 0.5 mA cm(-2). However, cycling between 5.25 V and 2 V with standard liquid electrolytes increases cell resistance from 63 to 314 Omega due to instability of the electrolyte at voltages greater than 4.5 V. The chlorinated spinel is then paired with a >5 V stable Li6.75La2.75Ca0.25Zr1.5Nb0.5O12 garnet to validate 5 V cycling, achieving 190 mAh g(-1) for 5 cycles with limited specific capacity decay.",LiMn2O4,"N/A, 200 mAh g(-1) when discharging at 0.5 mA cm(-2)",0.5 mA cm(-2),5.25 V to 2 V,
104,doc_104,"The design and optimization of electrolyte/electrode interface significantly affects the performance of solid-state batteries. Here, we propose hierarchical composite solid electrolytes (H-CSEs) for synergistically stabilizing lithium anode and constructing cathode continuous ion conducting networks. Interestingly, the H-CSEs could not only build a stable multiphase solid electrolyte interface, but also regulate the internal electric field of solid battery. XPS revealed that the additives including fluoroethylene carbonate (FEC), dipheny (2,4,6-trimethylbenzoyl) phosphorus oxide (TPO) and SnF2 were involved in the formation of solid electrolyte interface (SEI) rich in LiF, Li3PO4 and LixSn. x S n . While the FEC and SnF2 were participated in the formation of cathode electrolyte interphase (CEI) rich in LiF and Sn. In addition, the finite element simulations confirmed that the H-CSEs could reduce local electric field, regulate ion transport flux, and promote the preferential deposition of Li+ on the anode plane. These results synergistically enhanced the reaction kinetics. As expected, the Li/H-CSEs/LiFePO4 battery showed a specific capacity of 102 mAh g(-1) at 1.0C after 300 cycles. The capacity of Li/H-CSEs/S cell was 850 mAh g(-1) at 0.2C after 60 cycles.",N/A,850 mAh g(-1),0.2C,N/A,60
105,doc_105,"Regarding the cost and safety concerns arising together with the increasing demands on lithium-ion batteries, high energy density Ni-rich LiNi0.8Co0.1Mn0.1O2 (NMC811) materials are of substantial interest as cathode materials for the next-generation commercial lithium-ion batteries. However, their low cycling stability hinders their use in large-scale applications (Schipper et al., 2018) [1]. In this work, we report two NMC811 materials, pristine and Mg/Zr co-doped, both synthesized through a facile sol-gel method followed by a stepwise calcination process. The doped cathode presents enhanced structural stability and shows a specific capacity of 232 mAh/g, at 0.1C and high charge cut-off voltage of 4.8 V vs. Li thorn /Li, and significant good cycling stability after 100 cycles; better than pristine NMC811. To unravel the origin of the enhancement, we have investigated the ionic and electronic transport properties by means of electrochemical impedance spectroscopy measurements, as well as the behavior of the electrode-electrolyte interphase layer.(c) 2022 Elsevier Ltd. All rights reserved.",NMC811,232 mAh/g,0.1C,High charge cut-off voltage (no specific value given),N/A
106,doc_106,"SiOx@C anodes have been regarded as one of the most attractive candidates for next-generation high-capacity lithium-ion batteries (LIBs). However, the uneven thickness and lack of continuity in the carbon coating have led to a decrease in capacity, lifespan, and coulombic efficiency. Thus, there is a pressing need to address the atomiclevel construction of the Si/C interface. In this study, we present a simple interfacial engineering approach to achieve an in-situ compact carbon layer on porous SiOx@C (pSiOx@C) anodes through low-temperature zinc thermal reduction. Following prelithiation, the pSiOx@C anode demonstrates excellent performance, including a high initial Coulombic efficiency (93.4%), a reversible capacity exceeding 900 mAh/g, long-term cycling stability (1300 charge/discharge cycles at 0.3 A/g) and remarkable rate capability. Furthermore, when coupled with the LiCoO2 (LCO) cathode, the pSiOx@C//LCO full cell exhibits superior Li-ion storage performance, achieving a high reversible capacity of 147 mAh/g at 0.2 A/g. This work provides valuable insights into the design of SiOxbased anode materials for high-energy-density LIBs.",LiCoO2 (LCO),N/A,"0.2 A/g, 0.3 A/g",N/A,1300
107,doc_107,"High loading cathode with high active material proportion is a practical demand but far below the desirable value to achieve high energy density lithium-ion batteries (LIBs). Normally, the Li+/electron transport between active materials and electrolyte/carbon, however, it is poor and areal resistance is extremely high for a high loading/thick cathode. In this manuscript, taking high-voltage lithium cobalt oxide LiCoO2 (LCO) as an example, we design a facile liquid metal welding method enabled by a low melting-point indium-tin oxide In2O3/SnO2 (ITO) during a thermal treatment process, the strongly adhesion active particles show robust mechanical property for the free-standing LCO cathode with a pellet architecture. We also demonstrate that the O-2 atmosphere plays a critical role on the interfacial property, that is preventing the layered structure to rock-salt Co3O4 as well as further enhancing the interfacial mechanical integration. As expected, the LCO-ITO free-standing cathode not only shows robust mechanical property with densely packed configuration but also provides a fast Li+/electron pathway at the interface. Consequently, the LCO-ITO composite cathode exhibits excellent electrochemical cycling performance in both liquid and solid-state cells. For example, even at a high active material mass of 56 mg & BULL;cm(-2), the LCO cathode still delivers a specific capacity of 151 mAh & BULL;g(-1) and maintains 132.5 mAh & BULL;g(-1) (corresponding to 7.4 mAh & BULL;cm(-2)) after 80 cycles. The LCO-ITO-O-2 cathode is also applicable to a solid-state cell, which exhibits a high capacity of 100.4 mAh & BULL;g(-1) after 200 cycles of long-term cycling. The excellent electrochemical of the LCO-ITO-O-2 reveals the successful engineering mechanical architecture and interfacial carriers transport, which may be expected as an alternative approach to achieve high energy density LIBs.",LCO-ITO-O-2,"151 mAh & BULL;g(-1), 132.5 mAh & BULL;g(-1)",N/A,N/A,80
108,doc_108,"Extending the charge cutoff voltage of LiCoO2 (LCO) beyond 4.2 V is considered as a key parameter to obtain higher energy densities. Following gaps have been identified based on a thorough literature survey especially for higher cutoff voltage of nanoscale engineered LCO cathodes, (i) different metal oxides and metal fluoride surface coatings have been mostly done independently by different groups, (ii) room temperature performance was the focus with limited investigations at high temperature, (iii) nonexistence of low temperature cycling studies and (iv) no reports on high rate capability of LCO beyond 4.5 V (especially at 4.8 V) needs to be investigated. Herein, we report the effect of nanoscale engineering of LCO along with the role of coating chemistry and thickness to study its electrochemical performance at higher voltages and at wide operating temperatures. Surface coating was implemented with different metal oxides and a metal fluoride with tunable thickness. At 4.5 V, 5 wt% Al2O3 coated LiCoO2 (LCO@Al2O3-5) delivered a reversible capacity of 169 mAh g(-1) at 100 mA g(-1) and 151 mAh g(-1) at high rate of 10 C (2 A g(-1)) and 72% retention at the end of 500 cycles. At 55 degrees C, it exhibited better stability over 500 cycles at 5 C and even at -12.5 degrees C it maintained 72% of its initial capacity after 100 cycles at 200 mA g(-1). At 4.8 V cut-off, LCO@Al2O3-5 rendered reversible capacity of 213 mAh g(-1) at 100 mA g(-1), a high value compared to literatures reported for LCO. Also noted that it delivered a capacity of 126 mAh g(-1) at a current density of 1 A g(-1), whereas bare could only exhibit 66 mAh g(-1) under same testing conditions. Enhanced performance of LCO@Al2O3-5 can be ascribed to the lower charge transfer resistance derived from the stable solid solution formation on the interface. Ex situ XRD and ex situ Raman analysis at different stages of charge/discharge cycles correlates the enhanced performance of LCO@Al2O3-5 with its structural stability and minimal structural degradation.",LCO@Al2O3-5,"213 mAh g(-1), 169 mAh g(-1), 151 mAh g(-1)","100 mA g(-1), 10 C (2 A g(-1)), 1 A g(-1)","4.8 V, 4.5 V",500 cycles
109,doc_109,"Among the cathode materials that account for the largest cost in lithium-ion battery materials, olivine-structure LiFePO4 (LFP) have gained attention as a major cathode material for lithium-ion batteries due to its excellent thermal cycle performance and low price. However, carbon coating is essential because LFP exhibits low lithiumion mobility due to its structural properties. Nevertheless, carbon-coated LFP (LFP/C) still suffers from rapid capacity decay at high C-rates. In this study, the LFP/C was mixed with perovskite ferroelectric BaTiO3 (BT) to manufacture a composite cathode material with improved electrochemical properties. BT forms a dipole moment due to its high dielectric constant, LFP surface is induced to attract more positive charges. As a result, improves the lithium mobility coefficient, a drawback of LFP. The LFP/C-BT composite containing 5 wt% of BT showed an initial capacity of 154.3 mAh/g at 0.1C, a capacity of 88.3 mAh/g at 10C and capacity retention of 74.2 % after 500 cycles at 5C. Additionally, further electrochemical analysis was conducted after the cycling to confirm the improvement in electrochemical performance due to the addition of BT. This composite cathode took advantage of simplifying the process through a composite method instead of the existing coating method, and it was confirmed that the BT composite showed similar effects to coating after cycling.",LFP/C,"154.3 mAh/g, 88.3 mAh/g","0.1C, 10C, 5C",N/A,500
110,doc_110,"LiCoO2 is the preferred cathode material for consumer electronic products due to its high volumetric energy density. However, the unfavorable phase transition and surface oxygen release limits the practical application of LiCoO2 at a high-voltage of 4.6 V to achieve a higher energy density demanded by the mar-ket. Herein, both bulk and surface structures of LiCoO2 are stabilized at 4.6 V through oxygen charge reg-ulation by Gd-gradient doping. The enrichment of highly electropositive Gd on LiCoO2 surface will increase the effective charge on oxygen and improve the oxygen framework stability against oxygen loss. On the other hand, Gd ions occupy the Co-sites and suppress the unfavorable phase transition and micro -crack. The modified LiCoO2 exhibits superior cycling stability with capacity retention of 90.1% over 200 cycles at 4.6 V, and also obtains a high capacity of 145.7 mAh/g at 5 C. This work shows great promise for developing high-voltage LiCoO2 at 4.6 V and the strategy could also contribute to optimizing other cathode materials with high voltage and large capacity, such as cobalt-free high-nickel and lithium -rich manganese-based cathode materials.(c) 2022 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by ELSEVIER B.V. and Science Press.",LiCoO2,145.7 mAh/g,5 C,4.6 V,200
111,doc_111,"The solid-solid interfaces have crucial, but still poorly understood, roles in the performance of thin-film lithium batteries (TFBs). The modulating of crystalline preferred growth orientation is an effective method to build rapid ionic diffusion channel with lower interfacial barrier. This work develops and reveals the interfacial electro-chemical behaviors of textured cathode/solid electrolyte in TFBs by controlling preferred growth orientation of LiCoO2 (LCO) thin-film. The LCO(0 0 3) texture is transformed from the (440) plane of Co3O4 precursor with the lowest surface energy after annealing. Remarkably, oxygen reactive sputtering will promote the formation of LCO grains instead of Co3O4 species, resulting in the growth of LCO along (110) facet with the lowest volume strain-energy after annealing. TFBs (LCO/LiPON/Li) configuration with LCO(1 1 0) texture exhibit enhanced electrochemical performance with the capacity of about 101 mAh g(-1) about twice than that of (003) texture on 10C-rates, owing to the lower interface and bulk resistance. These results indicate that the method of controlling the lattice orientation not only minimize the lithium-ion diffusion pathways in the film textures, but also is beneficial to the interface between LCO and LiPON electrolyte to establish high performance solid-state batteries.",LiCoO2,about 101 mAh g(-1),10C-rates,N/A,N/A
112,doc_112,"Traditional cathode materials for lithium-insertion compounds, such as LiCoO2, LiMn2O4, LiNiO2, and LiFePO4, have been highly successful, but they face severe limitations in terms of energy density and production cost associated with their usage. Therefore, the design of next-generation energy storage devices, such as molecular cluster batteries, is an important and hot topic in current research. While polyoxometalates have been developed for battery components for several years, common POMs, including H3PW12O40, tend to form heteropoly blues that dissolve in the electrolyte during charging and discharging processes. Hence, finding a polyoxometalates that is less soluble in electrolyte and exhibits certain electrical properties is particularly crucial for lithium-ion battery cathodes. Here, we report the synthesis of zero-dimensional Cs3PW12O40 nanospheres, followed by the successful embedding of Cs3PW12O40 nanospheres into three-dimensional graphene sponge, constructing a novel hybrid material of three-dimensional graphene@polyoxometalate (rGO@Cs3PW12O40) as a new cathode material for LIBs. The prepared rGO@Cs3PW12O40 half-cell hybrid exhibits excellent electrochemical performance, with high specific capacity (approximately 240 mAh g-1 at 50 mA g-1), outstanding rate capability (95 mAh g-1 at 2 A g-1), and exceptional cycling stability (700 cycles at 1 A g-1). This study provides a new perspective on the application of polyoxometalates in lithium-ion batteries.",W12O40 half-cell hybrid,approximately 240 mAh g-1 at 50 mA g-1,"2 A g-1, 1 A g-1",N/A,700 cycles
113,doc_113,"Herein, we report chalcopyrite phase of zinc tin phosphide (ZnSnP2) as an anode for high rate, rechargeable, lithium-ion battery. In-situ Raman spectroscopy reveals the conversion of chalcopyrite phase of ZnSnP2 to a symmetric sphalerite phase upon cycling, which helps in achieving stable and reversible capacity at high discharge rates. This is due to the low bandgap and high conductivity of the sphalerite phase. The in-situ phase conversion is extremely important as it is difficult to synthesize bulk ZnSnP2 sphalerite phase by the known methods till date. After full phase conversion, a reversible capacity of 750 mAh g(-1) is obtained towards the end of 1700 cycles at a rate of 5 Ag-1. Full cell assembled using LiCoO2 as the cathode material yields a stable performance with a discharge capacity of around 500 mAh g(-1) at 0.5 Ag-1 and the rate capability studies demonstrate reversible capacities up to 15 Ag-1 current.",LiCoO2,"500 mAh g(-1), 750 mAh g(-1)","0.5 Ag-1, 5 Ag-1, 15 Ag-1",N/A,1700
114,doc_114,"The poor interface stability between the layered oxide cathodes and sulfide-based electrolyte due to the notorious parasitism reactions seriously limit the deployment of all solid state lithium batteries (ASSLBs). Herein, LiCoO2 (LCO) is selected as a representative model. The Nb-containing composite coating layer on its external is revealed by adjusting the Li/Nb stoichiometric ratio. Compared with the single-phase coating of Li2O and LiNbO3, the Li2O&LiNbO3 composite layer exhibits an significantly enhanced interface stability, which is attributed to its fast ion conductor features with improved Li+ kinetics and available physical barrier with reduced the interface contact between the LCO and sulfide solid electrolyte, further minimizing the mechanical degradation of batteries. Thus, the LiNbO3&Li2O decorated LCO delivers a high initial discharge specific capacity of 120 mAh g-1 at 1 C with the capacity retention rate up to 93 % after 150 cycles at 55 degrees C with the voltage range of 2.1-3.68 V (Vs Li-In). Importantly, it also displays an excellent rate performances (97.4 mAh g-1 at 5 C) and good long-term cycling stability up to 650 cycles at 2 C. This research offers a unique perspective to improve electrochemical performance of the layered oxide cathode materials in sulfide-based ASSLBs.",Layered oxide cathode materials,N/A (total capacity not mentioned),"Up to 5 C, excellent rate performance at 97.4 mAh g-1 at 5 C",2.1-3.68 V (Vs Li-In),Up to 650 cycles
115,doc_115,"In traditional electrolytes, due to the difference of donor number, the cyclic ethylene carbonate (EC) is usually used as the carrier of Li+, while the linear carbonate is used as the cosolvent. However, the poor desolvation ability of EC also leads to poor rate performance. Herein, we reversed the roles of carbonates, where the linear ethyl methyl carbonate (EMC) served as the Li+ carrier and the cyclic 3,3,3-trifluoropropylene carbonate (TFPC) acted as the cosolvent. This strategy helped significantly decrease the solvation effect while meeting the need for good solid electrolyte interphase (SEI) growth. Fluorobenzene (FB) was also introduced due to its low viscosity and high electrochemical stability. This electrolyte with a weakly solvated structure greatly improved the rate performance of electrodes. Moreover, the fluorine-rich interface introduced by the design effectively inhibited the dissolution of Co4+ in the high-voltage LiCoO2 (LCO) cathode. The LCO delivered a specific capacity of 177 mAh g(-1) and a good cycle life with a high cutoff voltage of 4.6 V. A commercial high-voltage graphite||LCO pouch cell using this electrolyte showed a good capacity retention of 99.1% over 100 cycles and a high energy density of 285 Wh kg(-1) at 0.3 C (counted by the mass of the whole battery) when charged to 4.5 V.",LiCoO2 (LCO),177 mAh g(-1),0.3,4.5 V / 4.6 V,100
116,doc_116,"Flexible composite polymer electrolytes (CPEs) with inorganic electrolyte fillers dispersed in polymer electrolytes integrate the merits of the polymer and inorganic electrolytes and have attracted much attention in recent years. In order to increase the electrochemical performance, especially the low lithium (Li)-ion transference number in traditional dual-ion Li salt-containing CPEs, single-ion conductive CPEs are synthesized with a single-ion polymer conductor (SIPC) as the matrix and Li6.4La3Zr1.4Ta0.6O12 (LLZTO) particles as the active fillers. The single-ion conductive CPEs show a high Li-ion transference number (up to 0.96), high room-temperature (RT) ionic conductivity (>1.0 x 10(-4) S cm(-1)), wide electrochemical stability window (>5.0 V, vs Li/Li+), and excellent long-term cycling stability with Li metal at RT (3200 h). Based on the SIPC-LLZTO CPE, the solid-state lithium metal batteries with LiFePO4- and LiCoO2-based cathodes deliver average discharge capacities of 159 mAh g(-1) for 600 cycles and 119 mAh g(-1) for 200 cycles at RT, respectively. This study sheds light on the design of high-performance CPEs for next-generation solid-state lithium metal batteries.",LiFePO4- and LiCoO2-based,159 mAh g(-1) and 119 mAh g(-1),N/A,">5.0 V, vs Li/Li+",600 and 200
117,doc_117,"The most attractive approach for maximizing the energy density of rechargeable lithium batteries is to combine a lithium metal anode with a high-voltage cathode. However, the dendritic formation of lithium at the anode and the highly oxidizing conditions that cause electrolyte decomposition at the cathode have hindered the practical development of lithium metal batteries (LMBs). In this study, we report a dual-type gel polymer electrolyte (GPE) composed of an anolyte and a catholyte that can address the drawbacks of both the anode and cathode sides. The anolyte is a poly(ethylene oxide)-based composite solid polymer electrolyte that is chemically stable with lithium metal and has a high mechanical strength for suppressing lithium dendrite growth. A cross-linked gel polymer electrolyte with high lithium-ion conductivity and oxidative stability was used as the catholyte. The Li/LiCoO2 cell assembled with a dual-type GPE exhibited a high discharge capacity of 181.1 mAh g-1 (areal capacity: 3.15 mAh cm- 2) in the voltage range of 3.0-4.5 V and excellent cycle life, with a capacity retention of 74 % after 700 cycles at 25 degrees C and 0.5 C rate. Our study proposes a promising electrolyte system for LMBs with high energy density and good cycle life.",N/A,N/A,0.5,High-voltage (no specific value mentioned),N/A
118,doc_118,"The increase in charging cut-off voltage accelerates the structure degradation and stress-strain accumulation of LiCoO2 (LCO) cathode, leading to heightened side reactions on the electrode surface and ultimately diminishing its electrochemical performance. Here, the piezoelectric LiTaO3 (LTO) and ferroelectric SrTiO3 (STO), and MgTiO3 (MTO) show matched preparation temperature with LCO electrode, which were utilized as coating layers to transform the stress and strain experienced during the high-voltage charging and discharging processes into polarization fields, thereby enhancing the electrochemical functionality. Taking the LTO coating layer as an example, the 2 wt% LTO-LCO electrode exhibits an obvious elevation of electrochemical, achieving 172.8 mAh center dot g-1 at 0.1 C (135.8 mAh center dot g-1 at 5 C) and maintaining a capacity retention rate of 84.8 % (1 C = 274 mAh center dot g-1 , 3.0-4.5 V) after 200 cycles. This research proves that the low-temperature piezoelectric/ferroelectric materials can be used as a coating layer of LCO electrodes to transform the stress and strain into polarization fields, which reduce the lattice expansion and accelerate the Li+ transport for designing high-performance LCO batteries in the future.",LCO,"172.8 mAh/g-1, 135.8 mAh/g-1 (5 C)","0.1 C, 5 C",3.0-4.5 V,200
119,doc_119,"Conjugated microporous polymers have been regarded as ideal electrode materials for green lithium-ion batteries (LIBs) considering their advantages such as insolubility, adjustable structure and porosity. Herein, we synthesize porphyrin-based CMPs (Co-PCMPs) with dual active sites composed of metal-N4 conjugated macrocycle and conjugated carbonyl groups through the condensation polymerization. In view of the rational design and unique organic skeleton, when used as the anode material for LIBs, Co-PCMPs show a high capacity (700 mAh g(-1) at 0.05 A g(-1)) and excellent rate capability (400 mAh g(-1) at 1.0 A g(-1)). Meanwhile, theoretical calculations are used to further study the lithium storage mechanism of Co-PCMPs as the anode material for LIBs. In addition, a full cell is also assembled by using LiCoO2 as the cathode material and Co-PCMPs as the anode material, which also shows a high capacity (212 mAh g(-1) at 0.05 A g(-1)) and good rate capability (116 mAh g(-1) at 0.2 A g(-1)), implying the possibility of practical applications of this type of conjugated microporous polymers. (c) 2022 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.",LiCoO2,"700 mAh g(-1), 212 mAh g(-1)","0.05 A g(-1), 0.2 A g(-1), 1.0 A g(-1)",N/A,N/A
120,doc_120,"Poly(ethylene oxide) based polymer electrolytes(PEO-SPEs) suffer from a narrow electrochemical window and deliver poor electrochemical performance when coupling with 4.2 V cathode. This severely limits the scope of its application. Here, a combination of physical stirring and electrochemistry is used to form an ultrathin and uniform cladding layer on the LiCoO2 particles. The results show that in addition to the decomposition of LiPO2F2 during the charge/discharge cycling, decomposition reactions occur during the stirring and drying process by Xray photoelectron spectroscopy (XPS), field emission scanning electron microscope (FESEM) and transmission electron microscope (TEM). This novel method effectively improves the electrochemical performance of 4.2 V PEO based solid-state lithium batteries. In particular, the cell shows excellent and stable electrochemical performance, exhibiting a discharge capacity of 112.0 mAh g(-1) after 200 cycles, a capacity retention rate of 79.4% and a capacity decay rate of approximately 0.1% per cycle when the surface of LiCoO2 is coated with 2 wt% LiPO2F2. In comparison, the discharge capacity of the unmodified LiCoO2 cathode is found to be only 75.6 mAh g(-1) after 100 cycles, with a poor capacity retention rate of 56.8%. Based on the basis of the above research, a new process was explored and also shows excellent interfacial stability by dispersing LiPO2F2 directly inside the binder which with a discharge capacity of 109.2 mAh g(-1) and a capacity retention rate of 84.5% after 145 cycles. This novel approach opens up a new pathway for solving the problem of interfacial stability between PEO based polymer electrolytes and high-voltage cathode.",LiCoO2,"112.0 mAh g(-1), 75.6 mAh g(-1) (unmodified)",N/A,N/A,"200, 100"
121,doc_121,"The practical application of lithium cobalt oxide (LiCoO2) cathodes at high voltages is hindered by the instability of the surface structure and side reactions with the electrolyte. Herein, we prepared a multifunctional hierarchical core@double-shell structured LiCoO2 (MS-LCO) cathode material using a scalable sol-gel method. The MS-LCO cathode material comprised an outer shell with fast lithium-ion conductivity, a La/Zr co-doped inner shell, and a bulk LiCoO2 core. The outermost shell prevented direct contact between the electrolyte and LiCoO2 core, which alleviated the electrolyte decomposition and loss of active cobalt, while the La/Zr co-doped shell improved the structural stability at higher voltages in a half-cell with a liquid electrolyte. The MS-LCO cathode exhibited a stable capacity of 163.1 mAh g(-1) after 500 cycles at 0.5 C, and a high specific capacity of 166.8 mAh g(-1) at 2 C. In addition, a solid lithium battery with the surface-passivated MS-LCO cathode and a polyethylene oxide (PEO)-based inorganic/organic composite electrolyte retained 85.8 % of its initial discharge capacity after 150 cycles at a charging cutoff voltage of 4.3 V. Thus, the introduction of a surface-passivating shell can effectively suppress the decomposition of PEO caused by highly reactive oxygen species in LiCoO2 at high voltages.",MS-LCO,"163.1 mAh g(-1), 166.8 mAh g(-1)","0.5 C, 2 C",N/A,"500, 150"
122,doc_122,"Hybrid solid electrolyte (HSE) is a potential candidate in lithium secondary battery to replace the traditional liquid electrolyte with the superiority of solid state. We propose an optimal design for the high voltage stable solid-state lithium battery system by combining the HSE composed of poly(vinyl alcohol)-g-pyrrole-2-carboxylic acid (PVA-g-PCA) and pyrrole-2-carboxylic acid modified hydrotalcite (HTpca) nano-conductor and the Al2O3 coated LiCoO2 active material. The flexible and non-flammable PVA-g-PCA-80IL-5HTpca HSE exhibits outstanding Li+ conductivity of 4.78 x 10-3 S cm(-1) and Li+ transference number of 0.72 at room temperature in a wide electrochemical window up to 5.17 V vs Li+/Li, maintaining the long-term stability with Li metal over 500 cycles and low interfacial resistance of 42 & OHM; cm(2) with cathode prepared by PVA-g-PCA-60IL-5HTpca. Utilized as a conductive binder, PVA-g-PCA-60IL-5HTpca HSE ensures the dense packing and uniform distribution of LiCoO2 particles and the excellent adhesion strength with the current collector (> 24 MPa). Assembled with the Al2O3 coated LiCoO2 active material, the solid-state lithium batteries display the specific capacity of 188.7 mAh g(-1) and the long-term cycling stability over 200 cycles at 4.5 V and 60?degrees C.",PVA-g-PCA-60IL-5HTpca,188.7 mAh g(-1),N/A,"up to 5.17 V vs Li+/Li, 4.5 V","over 500 cycles, over 200 cycles"
123,doc_123,"All-solid-state lithium batteries (ASSLBs) have attracted significant attention due to their advantages of high energy density, enhanced safety profile, and potential for cost-effective manufacturing. At the same time, a superior anode that matches the ASSLBs is particularly important. In this work, we demonstrated chemically prelithiated MoS2 as an anode material for ASSLBs, which embeds lithium ions into a MoS2 matrix (LixMoS2) in advance to counteract lithium loss during the cycling. By a combination of LixMoS2, Li6PS5Cl (LPSC), and Li-In alloy, an all-solid-state lithium battery with superior long-term cycling and rate capability has been achieved. The cells exhibited a capacity retention rates of 93.4 and 90.8% after 100 cycles at both 0.2 and 1C, alongside a high specific discharge capacity of 480 mAh g(-1) at 1C. Furthermore, when paired with a LiCoO2 (LCO) cathode, the full cell maintained a capacity retention rate of 95% over 300 cycles at 1C, with an average capacity loss of only 0.013 mAh g(-1) per cycle. This work offers a feasible strategy for optimizing anode materials within sulfide-based ASSLBs, providing valuable insights for the development of high-performance ASSLBs for practical applications.",LiCoO2 (LCO),N/A,0.2 and 1C,N/A,100
124,doc_124,"Conventional lithium-ion batteries (LIBs) employing ethylene carbonate (EC)-based electrolytes and thermally unstable LiPF6 face dual challenges: sluggish Li-ion transport at low temperatures (<=-20 degrees C) and severe decomposition at elevated temperatures (>= 45 degrees C). Herein, a synergistic cation-anion solvation engineering strategy is presented for wide-temperature electrolytes, combining EC-free carbonate solvents with a thermally stable ternary lithium salt system. By fine-tuning solvent-salt interactions, the designed electrolyte exhibits facilitated desolvation kinetics and superior ionic conductivity under subzero temperatures (0.19 mS cm-1 at -60 degrees C), while also maintaining excellent high-temperature stability. The anion-participated solvation structure induces an inorganic-rich cathode-electrolyte interphase (CEI), effectively stabilizing the interfacial phase of LiCoO2 (LCO) under high voltages. Consequently, the LCO cathode with this electrolyte demonstrates robust performance under wide-temperature operations. At 4.6 V (versus Li/Li+), it retains 88.9% of its capacity after 400 cycles at 25 degrees C and 77.3% after 200 cycles at 45 degrees C. Remarkably, a reversible capacity of 110.1 and a discharge capacity of 92.6 mAh g-1 are delivered at -35 and -60 degrees C, respectively, highlighting its exceptional performance under extreme temperatures. This research pioneers a cation-anion solvation design for tailored electrolytes, enabling reliable LIB operation across a wide temperature range.",LCO,"88.9% (after 400 cycles), 92.6 mAh g-1 (-60 degrees C)",N/A,4.6 V,"200, 400"
